,creation_date,product_item_sku_id,sales,base_price,list_price,sale_price,msrp,views,cart_quantity,base_price_change,is_holiday,day_of_week,week_of_month,month_of_year,days_till_black_friday,days_till_christmas,days_till_summer,days_till_winter,is_promotion,margin,product_item_sku_id_encoded
29,2021-02-21,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,2,276,307,100,283,1,0.0,0
30,2021-02-28,FO-DMUN2Q,7,158.85714285714286,160.0,152.0,160.0,0.0,0.0,True,0,6,4,2,269,300,93,276,1,1.4285714285714235,0
31,2021-03-07,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,3,262,293,86,269,1,10.0,0
32,2021-03-14,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,2,3,255,286,79,262,1,0.0,0
33,2021-03-21,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,3,248,279,72,255,1,0.0,0
34,2021-03-28,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,4,3,241,272,65,248,1,10.0,0
35,2021-04-04,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False,0,6,1,4,234,265,58,241,1,10.0,0
36,2021-04-11,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,2,4,227,258,51,234,1,0.0,0
37,2021-04-18,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,3,4,220,251,44,227,1,10.0,0
38,2021-04-25,FO-DMUN2Q,5,154.66666666666666,160.0,152.0,160.0,0.0,0.0,True,0,6,4,4,213,244,37,220,1,6.666666666666679,0
39,2021-05-02,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,5,206,237,30,213,1,0.0,0
40,2021-05-09,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,5,199,230,23,206,1,0.0,0
41,2021-05-16,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,5,192,223,16,199,1,0.0,0
42,2021-05-23,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,4,5,185,216,9,192,1,0.0,0
43,2021-05-30,FO-DMUN2Q,4,160.0,165.0,171.0,165.0,0.0,0.0,False,0,6,5,5,178,209,2,185,1,6.0606060606060606,0
44,2021-06-06,FO-DMUN2Q,1,160.0,160.0,171.0,160.0,0.0,0.0,False,0,6,1,6,171,202,360,178,1,0.0,0
45,2021-06-13,FO-DMUN2Q,1,160.0,160.0,171.0,160.0,0.0,0.0,False,0,6,2,6,164,195,353,171,1,0.0,0
46,2021-06-20,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,3,6,157,188,346,164,1,10.0,0
47,2021-06-27,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,6,150,181,339,157,1,10.0,0
48,2021-07-04,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,False,1,6,1,7,143,174,332,150,1,10.0,0
49,2021-07-11,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,7,136,167,325,143,1,10.0,0
50,2021-07-18,FO-DMUN2Q,2,175.5,180.0,171.0,180.0,0.0,0.0,True,0,6,3,7,129,160,318,136,1,5.0,0
51,2021-07-25,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,4,7,122,153,311,129,1,0.0,0
52,2021-08-01,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,8,115,146,304,122,1,0.0,0
53,2021-08-08,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,8,108,139,297,115,1,0.0,0
54,2021-08-15,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,8,101,132,290,108,1,0.0,0
55,2021-08-22,FO-DMUN2Q,0,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,8,94,125,283,101,1,0.0,0
56,2021-08-29,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,5,8,87,118,276,94,1,0.0,0
57,2021-09-05,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,9,80,111,269,87,1,0.0,0
58,2021-09-12,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,9,73,104,262,80,1,0.0,0
59,2021-09-19,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,9,66,97,255,73,1,0.0,0
60,2021-09-26,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,9,59,90,248,66,1,0.0,0
61,2021-10-03,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,10,52,83,241,59,1,0.0,0
62,2021-10-10,FO-DMUN2Q,4,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,2,10,45,76,234,52,1,10.0,0
63,2021-10-17,FO-DMUN2Q,3,174.0,180.0,171.0,180.0,0.0,0.0,True,0,6,3,10,38,69,227,45,1,6.666666666666667,0
64,2021-10-24,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,4,10,31,62,220,38,1,0.0,0
65,2021-10-31,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,5,10,24,55,213,31,1,0.0,0
66,2021-11-07,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,11,17,48,206,24,1,0.0,0
67,2021-11-14,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,11,10,41,199,17,1,0.0,0
68,2021-11-21,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,11,3,34,192,10,1,0.0,0
69,2021-11-28,FO-DMUN2Q,0,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,11,361,27,185,3,1,0.0,0
70,2021-12-05,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,12,354,20,178,361,1,0.0,0
71,2021-12-12,FO-DMUN2Q,5,176.4,180.0,171.0,180.0,0.0,0.0,True,0,6,2,12,347,13,171,354,1,3.999999999999994,0
72,2021-12-19,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,3,12,340,6,164,347,1,10.0,0
73,2021-12-26,FO-DMUN2Q,3,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,12,333,364,157,340,1,10.0,0
74,2022-01-02,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,1,1,326,357,150,333,1,0.0,0
75,2022-01-09,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,1,319,350,143,326,1,0.0,0
76,2022-01-16,FO-DMUN2Q,4,175.5,180.0,171.0,180.0,0.0,0.0,True,0,6,3,1,312,343,136,319,1,5.0,0
77,2022-01-23,FO-DMUN2Q,0,175.5,180.0,171.0,180.0,0.0,0.0,False,0,6,4,1,305,336,129,312,1,5.0,0
78,2022-01-30,FO-DMUN2Q,3,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,5,1,298,329,122,305,1,10.0,0
79,2022-02-06,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,1,2,291,322,115,298,1,0.0,0
80,2022-02-13,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,2,284,315,108,291,1,0.0,0
81,2022-02-20,FO-DMUN2Q,9,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,2,277,308,101,284,1,0.0,0
82,2022-02-27,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,2,270,301,94,277,1,0.0,0
83,2022-03-06,FO-DMUN2Q,0,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,3,263,294,87,270,1,0.0,0
84,2022-03-13,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,3,256,287,80,263,1,0.0,0
85,2022-03-20,FO-DMUN2Q,0,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,3,249,280,73,256,1,0.0,0
86,2022-03-27,FO-DMUN2Q,4,173.25,180.0,171.0,180.0,0.0,0.0,True,0,6,4,3,242,273,66,249,1,7.5,0
87,2022-04-03,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,1,4,235,266,59,242,1,0.0,0
88,2022-04-10,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,4,228,259,52,235,1,0.0,0
89,2022-04-17,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,4,221,252,45,228,1,0.0,0
90,2022-04-24,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,4,4,214,245,38,221,1,10.0,0
91,2022-05-01,FO-DMUN2Q,5,176.4,180.0,171.0,180.0,0.0,0.0,True,0,6,1,5,207,238,31,214,1,3.999999999999994,0
92,2022-05-08,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,2,5,200,231,24,207,1,0.0,0
93,2022-05-15,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,5,193,224,17,200,1,0.0,0
94,2022-05-22,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,5,186,217,10,193,1,0.0,0
95,2022-05-29,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,5,5,179,210,3,186,1,0.0,0
96,2022-06-05,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,6,172,203,361,179,1,0.0,0
97,2022-06-12,FO-DMUN2Q,3,177.0,180.0,171.0,180.0,0.0,0.0,True,0,6,2,6,165,196,354,172,1,3.3333333333333335,0
98,2022-06-19,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,True,1,6,3,6,158,189,347,165,1,0.0,0
99,2022-06-26,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,6,151,182,340,158,1,0.0,0
100,2022-07-03,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,7,144,175,333,151,1,0.0,0
101,2022-07-10,FO-DMUN2Q,7,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,7,137,168,326,144,1,0.0,0
102,2022-07-17,FO-DMUN2Q,0,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,7,130,161,319,137,1,0.0,0
103,2022-07-24,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,4,7,123,154,312,130,1,10.0,0
104,2022-07-31,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,5,7,116,147,305,123,1,10.0,0
105,2022-08-07,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,8,109,140,298,116,1,10.0,0
106,2022-08-14,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,8,102,133,291,109,1,10.0,0
107,2022-08-21,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,3,8,95,126,284,102,1,0.0,0
108,2022-08-28,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,8,88,119,277,95,1,0.0,0
109,2022-09-04,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,9,81,112,270,88,1,0.0,0
110,2022-09-11,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,9,74,105,263,81,1,0.0,0
111,2022-09-18,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,9,67,98,256,74,1,0.0,0
112,2022-09-25,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,9,60,91,249,67,1,0.0,0
113,2022-10-02,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,10,53,84,242,60,1,0.0,0
114,2022-10-09,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,2,10,46,77,235,53,1,10.0,0
115,2022-10-16,FO-DMUN2Q,2,171.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,10,39,70,228,46,1,10.0,0
116,2022-10-23,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,0.0,True,0,6,4,10,32,63,221,39,1,0.0,0
117,2022-10-30,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,5,10,25,56,214,32,1,0.0,0
118,2022-11-06,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,11,18,49,207,25,1,0.0,0
119,2022-11-13,FO-DMUN2Q,11,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,11,11,42,200,18,1,0.0,0
120,2022-11-20,FO-DMUN2Q,12,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,3,11,4,35,193,11,1,0.0,0
121,2022-11-27,FO-DMUN2Q,19,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,4,11,362,28,186,4,1,0.0,0
122,2022-12-04,FO-DMUN2Q,10,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,1,12,355,21,179,362,1,0.0,0
123,2022-12-11,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,0.0,0.0,False,0,6,2,12,348,14,172,355,1,0.0,0
124,2022-12-18,FO-DMUN2Q,6,171.0,180.0,171.0,180.0,0.0,0.0,True,0,6,3,12,341,7,165,348,1,10.0,0
125,2022-12-25,FO-DMUN2Q,3,174.0,180.0,171.0,180.0,192.0,46.0,True,1,6,4,12,334,0,158,341,1,6.666666666666667,0
126,2023-01-01,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,376.0,114.0,True,1,6,1,1,327,358,151,334,1,0.0,0
127,2023-01-08,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,485.0,91.0,False,0,6,2,1,320,351,144,327,1,0.0,0
128,2023-01-15,FO-DMUN2Q,9,176.0,180.0,171.0,180.0,699.0,210.0,True,0,6,3,1,313,344,137,320,1,4.444444444444445,0
129,2023-01-22,FO-DMUN2Q,4,171.0,180.0,171.0,180.0,314.0,86.0,True,0,6,4,1,306,337,130,313,1,10.0,0
130,2023-01-29,FO-DMUN2Q,1,180.0,180.0,171.0,180.0,89.0,18.0,True,0,6,5,1,299,330,123,306,1,0.0,0
131,2023-02-05,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,227.0,59.0,False,0,6,1,2,292,323,116,299,1,0.0,0
132,2023-02-12,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,498.0,131.0,False,0,6,2,2,285,316,109,292,1,0.0,0
133,2023-02-19,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,410.0,143.0,False,0,6,3,2,278,309,102,285,1,0.0,0
134,2023-02-26,FO-DMUN2Q,11,180.0,180.0,171.0,180.0,888.0,404.0,False,0,6,4,2,271,302,95,278,1,0.0,0
135,2023-03-05,FO-DMUN2Q,4,177.75,180.0,171.0,180.0,258.0,90.0,True,0,6,1,3,264,295,88,271,1,2.5,0
136,2023-03-12,FO-DMUN2Q,6,178.5,180.0,171.0,180.0,456.0,83.0,True,0,6,2,3,257,288,81,264,1,1.6666666666666667,0
137,2023-03-19,FO-DMUN2Q,8,180.0,180.0,171.0,180.0,642.0,152.0,True,0,6,3,3,250,281,74,257,1,0.0,0
138,2023-03-26,FO-DMUN2Q,7,177.42857142857142,180.0,171.0,180.0,553.0,122.0,True,0,6,4,3,243,274,67,250,1,2.8571428571428705,0
139,2023-04-02,FO-DMUN2Q,8,176.14285714285714,180.0,171.0,180.0,512.0,94.0,True,0,6,1,4,236,267,60,243,1,4.28571428571429,0
140,2023-04-09,FO-DMUN2Q,8,180.0,180.0,171.0,180.0,562.0,154.0,True,0,6,2,4,229,260,53,236,1,0.0,0
141,2023-04-16,FO-DMUN2Q,2,175.5,180.0,171.0,180.0,141.0,21.0,True,0,6,3,4,222,253,46,229,1,5.0,0
142,2023-04-23,FO-DMUN2Q,4,171.0,180.0,171.0,180.0,324.0,94.0,True,0,6,4,4,215,246,39,222,1,10.0,0
143,2023-04-30,FO-DMUN2Q,9,173.25,180.0,171.0,180.0,625.0,200.0,True,0,6,5,4,208,239,32,215,1,7.5,0
144,2023-05-07,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,303.0,63.0,True,0,6,1,5,201,232,25,208,1,0.0,0
145,2023-05-14,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,393.0,67.0,False,0,6,2,5,194,225,18,201,1,0.0,0
146,2023-05-21,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,515.0,143.0,False,0,6,3,5,187,218,11,194,1,0.0,0
147,2023-05-28,FO-DMUN2Q,8,180.0,180.0,171.0,180.0,623.0,252.0,False,0,6,4,5,180,211,4,187,1,0.0,0
148,2023-06-04,FO-DMUN2Q,10,180.0,180.0,171.0,180.0,696.0,263.0,False,0,6,1,6,173,204,363,180,1,0.0,0
149,2023-06-11,FO-DMUN2Q,4,175.5,180.0,171.0,180.0,566.0,74.0,True,0,6,2,6,166,197,356,173,1,5.0,0
150,2023-06-18,FO-DMUN2Q,3,174.0,180.0,171.0,180.0,448.0,33.0,True,0,6,3,6,159,190,349,166,1,6.666666666666667,0
151,2023-06-25,FO-DMUN2Q,8,180.0,180.0,171.0,180.0,498.0,148.0,True,0,6,4,6,152,183,342,159,1,0.0,0
152,2023-07-02,FO-DMUN2Q,7,180.0,180.0,171.0,180.0,477.0,191.0,False,0,6,1,7,145,176,335,152,1,0.0,0
153,2023-07-09,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,352.0,85.0,False,0,6,2,7,138,169,328,145,1,0.0,0
154,2023-07-16,FO-DMUN2Q,5,175.5,180.0,171.0,180.0,258.0,82.0,True,0,6,3,7,131,162,321,138,1,5.0,0
155,2023-07-23,FO-DMUN2Q,1,171.0,180.0,171.0,180.0,64.0,22.0,True,0,6,4,7,124,155,314,131,1,10.0,0
156,2023-07-30,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,327.0,124.0,True,0,6,5,7,117,148,307,124,1,0.0,0
157,2023-08-06,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,484.0,145.0,False,0,6,1,8,110,141,300,117,1,0.0,0
158,2023-08-13,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,458.0,84.0,False,0,6,2,8,103,134,293,110,1,0.0,0
159,2023-08-20,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,437.0,128.0,False,0,6,3,8,96,127,286,103,1,0.0,0
160,2023-08-27,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,174.0,76.0,False,0,6,4,8,89,120,279,96,1,0.0,0
161,2023-09-03,FO-DMUN2Q,5,180.0,180.0,171.0,180.0,0.0,113.0,False,0,6,1,9,82,113,272,89,1,0.0,0
162,2023-09-10,FO-DMUN2Q,6,180.0,180.0,171.0,180.0,0.0,64.0,False,0,6,2,9,75,106,265,82,1,0.0,0
163,2023-09-17,FO-DMUN2Q,3,180.0,180.0,171.0,180.0,0.0,26.0,False,0,6,3,9,68,99,258,75,1,0.0,0
164,2023-09-24,FO-DMUN2Q,4,180.0,180.0,171.0,180.0,264.0,75.0,False,0,6,4,9,61,92,251,68,1,0.0,0
165,2023-10-01,FO-DMUN2Q,2,180.0,180.0,171.0,180.0,135.0,25.0,False,0,6,1,10,54,85,244,61,1,0.0,0
166,2023-10-08,FO-DMUN2Q,4,171.0,180.0,171.0,180.0,340.0,48.0,True,0,6,2,10,47,78,237,54,1,10.0,0
167,2023-10-15,FO-DMUN2Q,7,167.14285714285714,180.0,167.14285714285714,180.0,425.0,136.0,True,0,6,3,10,40,71,230,47,1,14.28571428571429,0
168,2023-10-22,FO-DMUN2Q,3,162.0,180.0,162.0,180.0,163.0,53.0,True,0,6,4,10,33,64,223,40,1,20.0,0
169,2023-10-29,FO-DMUN2Q,3,162.0,180.0,162.0,180.0,139.0,54.0,False,0,6,5,10,26,57,216,33,1,20.0,0
170,2020-08-02,MA-DMDCNPLQ,1,699.99,699.99,,699.99,0.0,0.0,True,0,6,1,8,114,145,303,121,0,0.0,1
171,2020-08-09,MA-DMDCNPLQ,4,699.99,699.99,524.99,699.99,0.0,0.0,False,0,6,2,8,107,138,296,114,1,0.0,1
172,2020-08-16,MA-DMDCNPLQ,8,549.99,699.99,524.99,699.99,0.0,0.0,True,0,6,3,8,100,131,289,107,1,42.8577551107873,1
173,2020-08-23,MA-DMDCNPLQ,6,524.99,699.9900000000001,524.99,699.9900000000001,0.0,0.0,True,0,6,4,8,93,124,282,100,1,50.000714295918534,1
174,2020-08-30,MA-DMDCNPLQ,2,524.99,699.99,524.99,699.99,0.0,0.0,False,0,6,5,8,86,117,275,93,1,50.00071429591851,1
175,2020-09-06,MA-DMDCNPLQ,6,524.99,699.9900000000001,524.99,699.9900000000001,0.0,0.0,False,0,6,1,9,79,110,268,86,1,50.000714295918534,1
176,2020-09-13,MA-DMDCNPLQ,7,524.99,699.99,524.99,699.99,0.0,0.0,False,0,6,2,9,72,103,261,79,1,50.00071429591851,1
177,2020-09-20,MA-DMDCNPLQ,2,524.99,699.99,524.99,699.99,0.0,0.0,False,0,6,3,9,65,96,254,72,1,50.00071429591851,1
178,2020-09-27,MA-DMDCNPLQ,2,682.49,699.99,524.99,699.99,0.0,0.0,True,0,6,4,9,58,89,247,65,1,5.000071429591851,1
179,2020-10-04,MA-DMDCNPLQ,1,699.99,699.99,524.99,699.99,0.0,0.0,True,0,6,1,10,51,82,240,58,1,0.0,1
180,2020-10-11,MA-DMDCNPLQ,3,699.9900000000001,699.9900000000001,524.99,699.9900000000001,0.0,0.0,True,0,6,2,10,44,75,233,51,1,0.0,1
181,2020-10-18,MA-DMDCNPLQ,0,699.9900000000001,699.9900000000001,524.99,699.9900000000001,0.0,0.0,False,0,6,3,10,37,68,226,44,1,0.0,1
182,2020-10-25,MA-DMDCNPLQ,3,699.9900000000001,699.9900000000001,524.99,699.9900000000001,0.0,0.0,False,0,6,4,10,30,61,219,37,1,0.0,1
183,2020-11-01,MA-DMDCNPLQ,4,691.24,699.99,664.99,699.99,0.0,0.0,True,0,6,1,11,23,54,212,30,1,2.5000357147959256,1
184,2020-11-08,MA-DMDCNPLQ,1,664.99,699.99,664.99,699.99,0.0,0.0,True,0,6,2,11,16,47,205,23,1,10.000142859183702,1
185,2020-11-15,MA-DMDCNPLQ,1,599.99,699.99,599.99,699.99,0.0,0.0,True,0,6,3,11,9,40,198,16,1,28.571836740524866,1
186,2020-11-22,MA-DMDCNPLQ,2,599.99,699.99,599.99,699.99,0.0,0.0,False,0,6,4,11,2,33,191,9,1,28.571836740524866,1
